"last_name, first_name","player_id","year","pa","bip","ba","est_ba","est_ba_minus_ba_diff","slg","est_slg","est_slg_minus_slg_diff","woba","est_woba","est_woba_minus_woba_diff","era","xera","era_minus_xera_diff"
"Nardi, Andrew","677053","2023","234","137",0.212,0.188,0.023999999999999994,0.365,0.301,0.064,0.289,0.258,0.030999999999999972,"2.70","2.73","-0.03"
"Phillips, Evan","623465","2023","234","152",0.177,0.225,-0.048000000000000015,0.302,0.354,-0.05199999999999999,0.232,0.275,-0.04300000000000001,"2.05","3.11","-1.056"
"Priester, Quinn","682990","2023","234","168",0.29,0.294,-0.0040000000000000036,0.555,0.478,0.07700000000000007,0.394,0.376,0.018000000000000016,"7.74","6.23","1.51"
"Bradford, Cody","674003","2023","234","170",0.259,0.243,0.016000000000000014,0.5,0.47,0.030000000000000027,0.333,0.326,0.007000000000000006,"5.30","4.48","0.824"
"Leclerc, José","600917","2023","233","136",0.183,0.184,-0.0010000000000000009,0.292,0.329,-0.03700000000000003,0.261,0.276,-0.015000000000000013,"2.68","3.14","-0.456"
"Webb, Jacob","657097","2023","232","141",0.199,0.211,-0.011999999999999983,0.352,0.342,0.009999999999999953,0.294,0.3,-0.006000000000000005,"3.69","3.74","-0.051"
"Bard, Daniel","453268","2023","232","128",0.206,0.225,-0.019000000000000017,0.371,0.409,-0.03799999999999998,0.345,0.371,-0.026000000000000023,"4.56","6.04","-1.479"
"Weems, Jordan","607179","2023","232","141",0.194,0.229,-0.035,0.393,0.427,-0.033999999999999975,0.294,0.324,-0.030000000000000027,"3.62","4.42","-0.798"
"Loup, Aaron","571901","2023","231","164",0.313,0.264,0.04899999999999999,0.462,0.426,0.03600000000000003,0.358,0.327,0.030999999999999972,"6.10","4.51","1.593"
"Hader, Josh","623352","2023","231","113",0.163,0.156,0.007000000000000006,0.224,0.229,-0.0050000000000000044,0.239,0.239,0,"1.28","2.35","-1.072"
"Williams, Devin","642207","2023","231","115",0.129,0.173,-0.043999999999999984,0.218,0.288,-0.06999999999999998,0.214,0.258,-0.04400000000000001,"1.53","2.73","-1.196"
"Iglesias, Raisel","628452","2023","231","148",0.238,0.224,0.013999999999999985,0.379,0.368,0.01100000000000001,0.285,0.276,0.008999999999999952,"2.75","3.14","-0.391"
"Shuster, Jared","694363","2023","230","173",0.264,0.268,-0.0040000000000000036,0.438,0.442,-0.0040000000000000036,0.341,0.354,-0.012999999999999956,"5.81","5.41","0.4"
"Gallegos, Giovanny","606149","2023","229","158",0.252,0.253,-0.0010000000000000009,0.467,0.45,0.017000000000000015,0.322,0.319,0.0030000000000000027,"4.42","4.27","0.148"
"Soriano, George","666277","2023","228","148",0.234,0.251,-0.016999999999999987,0.371,0.405,-0.03400000000000003,0.308,0.33,-0.02200000000000002,"3.81","4.61","-0.802"
"Peralta, Wandy","593974","2023","227","140",0.19,0.239,-0.04899999999999999,0.323,0.37,-0.046999999999999986,0.293,0.332,-0.039000000000000035,"2.83","4.67","-1.837"
"Blanco, Ronel","669854","2023","226","144",0.251,0.246,0.0050000000000000044,0.462,0.449,0.013000000000000012,0.352,0.349,0.0030000000000000027,"4.50","5.23","-0.73"
"Smith, Will","519293","2023","226","154",0.211,0.227,-0.016000000000000014,0.344,0.37,-0.026000000000000023,0.262,0.28,-0.018000000000000016,"4.39","3.23","1.165"
"Domínguez, Seranthony","622554","2023","224","148",0.246,0.244,0.0020000000000000018,0.374,0.399,-0.025000000000000022,0.318,0.329,-0.01100000000000001,"3.78","4.58","-0.8"
"Chafin, Andrew","605177","2023","224","132",0.231,0.237,-0.005999999999999978,0.41,0.405,0.004999999999999949,0.325,0.329,-0.0040000000000000036,"4.73","4.58","0.154"
"Ryu, Hyun Jin","547943","2023","224","171",0.257,0.251,0.006000000000000005,0.447,0.39,0.056999999999999995,0.323,0.306,0.017000000000000015,"3.46","3.90","-0.438"
"Lynch IV, Daniel","663738","2023","223","172",0.245,0.266,-0.02100000000000002,0.426,0.464,-0.038000000000000034,0.312,0.339,-0.027000000000000024,"4.64","4.90","-0.257"
"Hentges, Sam","656529","2023","223","149",0.26,0.265,-0.0050000000000000044,0.338,0.385,-0.046999999999999986,0.292,0.314,-0.02200000000000002,"3.61","4.13","-0.519"
"Hernandez, Jose","669796","2023","223","138",0.239,0.234,0.004999999999999977,0.462,0.416,0.04600000000000004,0.329,0.315,0.014000000000000012,"4.97","4.16","0.814"
"Adam, Jason","592094","2023","222","124",0.181,0.215,-0.034,0.342,0.403,-0.061,0.283,0.32,-0.03700000000000003,"2.98","4.30","-1.318"
"Woodford, Jake","663765","2023","222","168",0.314,0.301,0.013000000000000012,0.572,0.524,0.04799999999999993,0.404,0.392,0.01200000000000001,"6.23","6.90","-0.669"
